Investor Name,Investor Slug,Investor Type,Impact Focus,Website,HQ Country,AUM Bucket,Status,Notes
Blue Haven Initiative,blue-haven-initiative,family-office,unknown,https://bluehaveninitiative.com/,US,unknown,active,
Ceniarth,ceniarth,family-office,unknown,https://ceniarth.com/news/,US,unknown,active,
Porticus,porticus,family-office,unknown,,NL,unknown,active,
Temasek Trust / Philanthropy Asia,temasek-trust,family-office,unknown,https://www.temasektrust.org.sg/newsroom,SG,unknown,active,
ICONIQ Impact,iconiq-impact,family-office,unknown,https://www.iconiqimpact.com/,US,unknown,active,
Soros Economic Development Fund,soros-economic-development-fund,family-office,unknown,https://www.opensocietyfoundations.org/who-we-are/programs/soros-economic-development-fund,US,unknown,active,
Trinity Church Wall Street,trinity-church-wall-street,foundation,unknown,https://trinitywallstreet.org/news,US,unknown,active,
Catholic Investment Services,catholic-investment-services,foundation,unknown,https://catholicinvest.org/,US,unknown,active,
Mercy Investment Services,mercy-investment-services,foundation,unknown,https://www.mercyinvestmentservices.org/,US,unknown,active,
Wespath Investment Management,wespath,foundation,unknown,,US,unknown,active,
Adrian Dominican Sisters Portfolio Advisory Board,adrian-dominican-sisters,foundation,unknown,https://adriandominicans.org/,US,unknown,active,
Christian Brothers Investment Services,christian-brothers-investment-services,foundation,unknown,,US,unknown,active,
Calvert Impact Capital,calvert-impact-capital,family-office,unknown,,US,unknown,active,
Pritzker Innovation Fund,pritzker-innovation-fund,family-office,unknown,https://www.bluehavenmgmt.com/,US,unknown,active,
Builders Initiative,builders-initiative,family-office,unknown,https://buildersinitiative.org/news/,US,unknown,active,
Imaginable Futures,imaginable-futures,family-office,unknown,https://www.imaginablefutures.com/learnings/,US,unknown,active,
Tides Foundation,tides-foundation,foundation,unknown,https://www.tides.org/news/,US,unknown,active,
Episcopal Church Foundation,episcopal-church-foundation,foundation,unknown,https://www.ecfvp.org/,US,unknown,active,
Inherent Group,inherent-group,family-office,unknown,,US,unknown,active,
Rockefeller Brothers Fund,rockefeller-brothers-fund,family-office,unknown,https://www.rbf.org/news,US,unknown,active,
Munjal Family Office (Hero Enterprises),munjal-family-office-hero-enterprises,family-office,unknown,,IN,unknown,active,
Tsao Family Office,tsao-family-office,family-office,unknown,https://www.tsao.com,SG,unknown,active,
Pivotal Ventures,pivotal-ventures,family-office,unknown,,US,unknown,active,
Schmidt Futures,schmidt-futures,family-office,unknown,https://www.schmidtfutures.com/news/,US,unknown,active,
Ballmer Group,ballmer-group,family-office,unknown,https://www.ballmergroup.org/news/,US,unknown,active,
Caprock Group,caprock-group,family-office,unknown,,US,unknown,active,
Tiedemann Advisors,tiedemann-advisors,family-office,unknown,https://www.tiedemannadvisors.com/insights,US,unknown,active,
Veris Wealth Partners,veris-wealth-partners,family-office,unknown,https://www.veriswp.com/news/,US,unknown,active,
ImpactAssets,impactassets,foundation,unknown,https://impactassets.org/news/,US,unknown,active,
British International Investment,british-international-investment,dfi,unknown,https://www.bii.co.uk/en/news-insight/,,unknown,active,
FMO,fmo,dfi,unknown,https://www.fmo.nl/news,,unknown,active,
U.S. International Development Finance Corporation,u-s-international-development-finance-corporation,dfi,unknown,https://www.dfc.gov/media/press-releases,,unknown,active,
Proparco,proparco,dfi,unknown,https://www.proparco.fr/en/news,,unknown,active,
Norfund,norfund,dfi,unknown,https://www.norfund.no/news/,,unknown,active,
Finnfund,finnfund,dfi,unknown,https://www.finnfund.fi/en/news/,,unknown,active,
IFC Asset Management / AIP,ifc-asset-management-aip,dfi,unknown,https://pressroom.ifc.org/,,unknown,active,
Swedfund,swedfund,dfi,unknown,https://www.swedfund.se/en/news/,,unknown,active,
DEG,deg,dfi,unknown,https://www.deginvest.de/International-financing/DEG/Press/,,unknown,active,
KfW Development Bank,kfw-development-bank,dfi,unknown,https://www.kfw.de/About-KfW/Newsroom/,,unknown,active,
AECID,aecid,dfi,unknown,https://www.aecid.es/EN/press-room,,unknown,active,
FinDev Canada,findev-canada,dfi,unknown,https://www.findevcanada.ca/en/news,,unknown,active,
AFD,afd,dfi,unknown,https://www.afd.fr/en/actualites,,unknown,active,
JICA,jica,dfi,unknown,https://www.jica.go.jp/english/news/index.html,,unknown,active,
EBRD,ebrd,dfi,unknown,https://www.ebrd.com/news.html,,unknown,active,
IDB Invest,idb-invest,dfi,unknown,https://www.idbinvest.org/en/news,,unknown,active,
Asian Development Bank,asian-development-bank,dfi,unknown,https://www.adb.org/news,,unknown,active,
African Development Bank,african-development-bank,dfi,unknown,https://www.afdb.org/en/news-and-events,,unknown,active,
Caribbean Development Bank,caribbean-development-bank,dfi,unknown,https://www.caribank.org/newsroom,,unknown,active,
European Investment Bank,european-investment-bank,dfi,unknown,https://www.eib.org/en/press/index.htm,,unknown,active,
Islamic Development Bank,islamic-development-bank,dfi,unknown,https://www.isdb.org/news,,unknown,active,
BIO Invest,bio-invest,dfi,unknown,https://www.bio-invest.be/en/news,,unknown,active,
SIFEM,sifem,dfi,unknown,https://www.sifem.ch/news,,unknown,active,
AIIB,aiib,dfi,unknown,https://www.aiib.org/en/news-events/news/index.html,,unknown,active,
OPEC Fund for International Development,opec-fund-for-international-development,dfi,unknown,https://opecfund.org/news,,unknown,active,
CAF Development Bank of Latin America,caf-development-bank-of-latin-america,dfi,unknown,https://www.caf.com/en/currently/news/,,unknown,active,
IFAD,ifad,dfi,unknown,https://www.ifad.org/en/news,,unknown,active,
DBSA,dbsa,dfi,unknown,https://www.dbsa.org/news,,unknown,active,
TDB,tdb,dfi,unknown,https://www.tdbgroup.org/news/,,unknown,active,
BOAD,boad,dfi,unknown,https://www.boad.org/en/category/news/,,unknown,active,
Africa Finance Corporation,africa-finance-corporation,dfi,unknown,https://www.africafc.org/news-and-insights,,unknown,active,
Nordic Investment Bank,nordic-investment-bank,dfi,unknown,https://www.nib.int/news,,unknown,active,
COFIDES,cofides,dfi,unknown,https://www.cofides.es/en/news,,unknown,active,
SIMEST,simest,dfi,unknown,https://www.simest.it/en/news,,unknown,active,
SOFID,sofid,dfi,unknown,https://www.sofid.pt/en/news/,,unknown,active,
OeEB,oeeb,dfi,unknown,https://www.oe-eb.at/en/News-and-Events/News.html,,unknown,active,
JBIC,jbic,dfi,unknown,https://www.jbic.go.jp/en/information/news/index.html,,unknown,active,
Korea EDCF,korea-edcf,dfi,unknown,https://www.edcfkorea.go.kr/en/edcf/notification/news.do,,unknown,active,
KOICA,koica,dfi,unknown,https://www.koica.go.kr/koica_en/index.do,,unknown,active,
Saudi Fund for Development,saudi-fund-for-development,dfi,unknown,https://www.sfd.gov.sa/en/m/4,,unknown,active,
Kuwait Fund for Arab Economic Development,kuwait-fund-for-arab-economic-development,dfi,unknown,https://www.kuwait-fund.org/en/web/kfund/news,,unknown,active,
Abu Dhabi Fund for Development,abu-dhabi-fund-for-development,dfi,unknown,https://www.adfd.ae/english/news,,unknown,active,
Qatar Fund for Development,qatar-fund-for-development,dfi,unknown,https://qatarfund.org.qa/en/news/,,unknown,active,
China Development Bank,china-development-bank,dfi,unknown,https://www.cdb.com.cn/English/xwzx_715/khdt/,,unknown,active,
China Eximbank,china-eximbank,dfi,unknown,http://english.eximbank.gov.cn/News/,,unknown,active,
New Development Bank,new-development-bank,dfi,unknown,https://www.ndb.int/news_landing/,,unknown,active,
BNDES,bndes,dfi,unknown,https://www.bndes.gov.br/SiteBNDES/bndes/bndes_en/Hotsites/Press_Office/news.html,,unknown,active,
CABEI,cabei,dfi,unknown,https://www.bcie.org/en/communications-room/news,,unknown,active,
North American Development Bank,north-american-development-bank,dfi,unknown,https://www.nadb.org/news,,unknown,active,
Shelter Afrique,shelter-afrique,dfi,unknown,https://www.shelterafrique.org/category/news/,,unknown,active,
East African Development Bank,east-african-development-bank,dfi,unknown,https://www.eadb.org/news/,,unknown,active,
ATIDI,atidi,dfi,unknown,https://www.ati-aca.org/category/news/,,unknown,active,
