LP Slug,EIN,Resolved Name,Form Type,Latest Filing Year,Total Assets USD,Annual Grants Paid USD,Annual Distributions USD,Total Charitable Expenses USD,Officer Compensation Aggregate USD,Sister Trust,Sister Trust EIN,Sister Trust Total Assets USD,Sister Trust Source URL,Source URL,Source Date,Scraping Method Used
ford-foundation,131684331,Ford Foundation,990-PF,2023,16791366964,607405678,795120762,918133779,10126977,,,,,https://projects.propublica.org/nonprofits/organizations/131684331,2026-05-06,lp_990_signals.combine_lp_990_signals
rockefeller-foundation,131659629,Rockefeller Foundation,990-PF,2023,6225179743,273583314,292052548,440048482,5596590,,,,,https://projects.propublica.org/nonprofits/organizations/131659629,2026-05-06,lp_990_signals.combine_lp_990_signals
gates-foundation,562618866,Gates Foundation,990-PF,2023,76951451400,7200556970,159411117,7793604635,13590793,Bill & Melinda Gates Foundation Trust,911663695,75530745576,https://projects.propublica.org/nonprofits/organizations/911663695,https://projects.propublica.org/nonprofits/organizations/562618866,2026-05-06,lp_990_signals.combine_lp_990_signals
macarthur-foundation,237093598,John D & Catherine T Macarthur Foundation,990-PF,2023,8672283398,338504565,418691836,385906042,5229977,,,,,https://projects.propublica.org/nonprofits/organizations/237093598,2026-05-06,lp_990_signals.combine_lp_990_signals
hewlett-foundation,941655673,William & Flora Hewlett Foundation,990-PF,2023,13332174215,605258937,635906688,648388584,2050219,,,,,https://projects.propublica.org/nonprofits/organizations/941655673,2026-05-06,lp_990_signals.combine_lp_990_signals
packard-foundation,942278431,David And Lucile Packard Foundation,990-PF,2023,8324855767,371574675,429374116,421734737,5405085,,,,,https://projects.propublica.org/nonprofits/organizations/942278431,2026-05-06,lp_990_signals.combine_lp_990_signals
hilton-foundation,943100217,Conrad N Hilton Foundation,990-PF,2023,7099706570,210298805,344825040,327189750,4602474,,,,,https://projects.propublica.org/nonprofits/organizations/943100217,2026-05-06,lp_990_signals.combine_lp_990_signals
kellogg-foundation,381359264,W K Kellogg Foundation,990-PF,2023,8089557339,406544164,19548288,388373728,4211130,W K Kellogg Foundation Trust,366030614,7615032022,https://projects.propublica.org/nonprofits/organizations/366030614,https://projects.propublica.org/nonprofits/organizations/381359264,2026-05-06,lp_990_signals.combine_lp_990_signals
skoll-foundation,113659133,Skoll Foundation,990-PF,2023,807076748,39551867,39395512,82955518,2286326,,,,,https://projects.propublica.org/nonprofits/organizations/113659133,2026-05-06,lp_990_signals.combine_lp_990_signals
surdna-foundation,136108163,Surdna Foundation Inc,990-PF,2023,1166632706,89679450,59823634,65218417,2374989,,,,,https://projects.propublica.org/nonprofits/organizations/136108163,2026-05-06,lp_990_signals.combine_lp_990_signals
rwjf,226029397,Robert Wood Johnson Foundation,990-PF,2023,13678252785,551244399,645951613,697185307,6440121,,,,,https://projects.propublica.org/nonprofits/organizations/226029397,2026-05-06,lp_990_signals.combine_lp_990_signals
mcknight-foundation,410754835,Mcknight Foundation,990-PF,2023,2661443888,114829503,133481520,131856327,1697232,,,,,https://projects.propublica.org/nonprofits/organizations/410754835,2026-05-06,lp_990_signals.combine_lp_990_signals
macp,371758406,Margaret A Cargill Foundation,990-PF,2023,3254260683,189992710,155576071,180576494,1784110,,,,,https://projects.propublica.org/nonprofits/organizations/371758406,2026-05-06,lp_990_signals.combine_lp_990_signals
open-society-foundations,263753801,Foundation To Promote Open Society,990-PF,2023,10502606362,836579235,510031453,775088667,,,,,,https://projects.propublica.org/nonprofits/organizations/263753801,2026-05-06,lp_990_signals.combine_lp_990_signals
omidyar-network,201173866,Omidyar Network Fund Inc,990-PF,2023,392593149,27224915,17587024,29328767,,,,,,https://projects.propublica.org/nonprofits/organizations/201173866,2026-05-06,lp_990_signals.combine_lp_990_signals
czi,455002209,Chan Zuckerberg Initiative Foundation,990-PF,2023,6319675100,57960663,298792721,216049658,,,,,,https://projects.propublica.org/nonprofits/organizations/455002209,2026-05-06,lp_990_signals.combine_lp_990_signals
bloomberg-philanthropies,205602483,Bloomberg Family Foundation Inc,990-PF,2023,11808358665,1005927588,542972061,1423427842,275000,,,,,https://projects.propublica.org/nonprofits/organizations/205602483,2026-05-06,lp_990_signals.combine_lp_990_signals
bezos-earth-fund,931868994,Bezos Earth Fund Foundation,990-PF,2023,1,,,13865842,,,,,,https://projects.propublica.org/nonprofits/organizations/931868994,2026-05-06,lp_990_signals.combine_lp_990_signals
ciff-us,43632641,The Childrens Investment Fund Foundation,990-PF,2021,147469388,4873846,9013279,7565819,159152,,,,,https://projects.propublica.org/nonprofits/organizations/43632641,2026-05-06,lp_990_signals.combine_lp_990_signals
visa-foundation,814503596,Visa Foundation,990-PF,2023,405449829,35053968,19620269,35942942,,,,,,https://projects.propublica.org/nonprofits/organizations/814503596,2026-05-06,lp_990_signals.combine_lp_990_signals
citi-foundation,133781879,Citi Foundation,990-PF,2023,88205234,57087608,4525094,86221500,,,,,,https://projects.propublica.org/nonprofits/organizations/133781879,2026-05-06,lp_990_signals.combine_lp_990_signals
jpmc-foundation,237049738,Jpmorgan Chase Foundation,990-PF,2023,442059290,194393456,21945272,220862772,,,,,,https://projects.propublica.org/nonprofits/organizations/237049738,2026-05-06,lp_990_signals.combine_lp_990_signals
bofa-foundation,200721133,Bank Of America Charitable Foundation Inc,990-PF,2023,7556845,225641539,1226310,225641539,,,,,,https://projects.propublica.org/nonprofits/organizations/200721133,2026-05-06,lp_990_signals.combine_lp_990_signals
metlife-foundation,132878224,Metlife Foundation,990-PF,2023,127111548,37401844,5934790,37557296,,,,,,https://projects.propublica.org/nonprofits/organizations/132878224,2026-05-06,lp_990_signals.combine_lp_990_signals
pfizer-foundation,136083839,Pfizer Foundation Inc,990-PF,2023,255366549,47098670,12839279,47286305,,,,,,https://projects.propublica.org/nonprofits/organizations/136083839,2026-05-06,lp_990_signals.combine_lp_990_signals
autodesk-foundation,611703255,Autodesk Foundation,990-PF,2024,342775,33000000,8679,33496479,40000,,,,,https://projects.propublica.org/nonprofits/organizations/611703255,2026-05-06,lp_990_signals.combine_lp_990_signals
schmidt-family-foundation,204170342,The Schmidt Family Foundation,990-PF,2023,1834552574,137609510,86147286,152319793,452553,,,,,https://projects.propublica.org/nonprofits/organizations/204170342,2026-05-06,lp_990_signals.combine_lp_990_signals
cisneros-foundation,872492348,Cisneros Foundation,,,,,,,,,,,,https://projects.propublica.org/nonprofits/organizations/872492348,2026-05-06,lp_990_signals.combine_lp_990_signals
cordes-foundation,251926063,Cordes Foundation,990,2023,9150480,,,546106,,,,,,https://projects.propublica.org/nonprofits/organizations/251926063,2026-05-06,lp_990_signals.combine_lp_990_signals
helmsley-charitable-trust,137184401,Leona M & Harry B Helmsley Charitable Trust,990-PF,2023,7256835636,454329910,367142574,462319022,3673306,,,,,https://projects.propublica.org/nonprofits/organizations/137184401,2026-05-06,lp_990_signals.combine_lp_990_signals
heron-foundation,133647019,F B Heron Foundation,990-PF,2023,326924230,19049286,19061732,22831192,628272,,,,,https://projects.propublica.org/nonprofits/organizations/133647019,2026-05-06,lp_990_signals.combine_lp_990_signals
howard-g-buffett-foundation,470824756,Howard G Buffett Foundation,990-PF,2023,419598452,458103720,37501898,503157391,765728,,,,,https://projects.propublica.org/nonprofits/organizations/470824756,2026-05-06,lp_990_signals.combine_lp_990_signals
kl-felicitas-foundation,770539366,The Kl Felicitas Foundation,990-PF,2023,5536384,297000,388607,556876,,,,,,https://projects.propublica.org/nonprofits/organizations/770539366,2026-05-06,lp_990_signals.combine_lp_990_signals
lemelson-foundation,880391959,Lemelson Foundation,990-PF,2023,416642073,16075686,18830853,23501280,648838,,,,,https://projects.propublica.org/nonprofits/organizations/880391959,2026-05-06,lp_990_signals.combine_lp_990_signals
novo-foundation,470824753,Novo Foundation,990-PF,2023,719322289,134303210,21889557,199397422,1007269,,,,,https://projects.propublica.org/nonprofits/organizations/470824753,2026-05-06,lp_990_signals.combine_lp_990_signals
patrick-j-mcgovern-foundation,223021586,The Patrick J Mcgovern Foundation Inc,990-PF,2023,1476764247,65777146,70401086,73704902,1220960,,,,,https://projects.propublica.org/nonprofits/organizations/223021586,2026-05-06,lp_990_signals.combine_lp_990_signals
russell-family-foundation,911663336,The Russell Family Foundation,990-PF,2023,77299440,1830314,3693719,3478651,406802,,,,,https://projects.propublica.org/nonprofits/organizations/911663336,2026-05-06,lp_990_signals.combine_lp_990_signals
sorenson-impact-foundation,453203840,Sorenson Impact Foundation,990-PF,2023,142073772,2350000,7277937,3588289,,,,,,https://projects.propublica.org/nonprofits/organizations/453203840,2026-05-06,lp_990_signals.combine_lp_990_signals
tara-health-foundation,465645300,Tara Health Foundation,990-PF,2023,51622872,9297176,2420806,13135422,97641,,,,,https://projects.propublica.org/nonprofits/organizations/465645300,2026-05-06,lp_990_signals.combine_lp_990_signals
walton-family-foundation,133441466,Walton Family Foundation Inc,990-PF,2023,5714135948,641316726,349226165,677896287,2190048,,,,,https://projects.propublica.org/nonprofits/organizations/133441466,2026-05-06,lp_990_signals.combine_lp_990_signals
dovetail-impact-foundation,760324538,Dovetail Impact Foundation,990-PF,2023,157864663,12070856,7321753,14255887,234006,,,,,https://projects.propublica.org/nonprofits/organizations/760324538,2026-05-06,lp_990_signals.combine_lp_990_signals
draper-richards-kaplan-foundation,912172351,Draper Richards Kaplan Foundation,990,2023,43758116,,,17880558,1109109,,,,,https://projects.propublica.org/nonprofits/organizations/912172351,2026-05-06,lp_990_signals.combine_lp_990_signals
ezrah-charitable-trust,812608588,The Ezrah Charitable Trust,990-PF,2023,483681336,8375348,21255688,8873887,208661,,,,,https://projects.propublica.org/nonprofits/organizations/812608588,2026-05-06,lp_990_signals.combine_lp_990_signals
focusing-philanthropy,452405071,Focusing Philanthropy Inc,990,2023,8283735,,,26326197,178825,,,,,https://projects.propublica.org/nonprofits/organizations/452405071,2026-05-06,lp_990_signals.combine_lp_990_signals
john-deere-foundation,366051024,John Deere Foundation,990-PF,2023,212646379,41644645,11003905,26978866,,,,,,https://projects.propublica.org/nonprofits/organizations/366051024,2026-05-06,lp_990_signals.combine_lp_990_signals
osprey-foundation,141862154,Osprey Foundation Inc,990-PF,2023,34682557,5778000,1943154,6693156,381071,,,,,https://projects.propublica.org/nonprofits/organizations/141862154,2026-05-06,lp_990_signals.combine_lp_990_signals
the-missionary-sisters-of-the-sacred-heart-of-jesus,132863648,Missionary Sisters Of The Sacred Heart Of Jesus,,,,,,,,,,,,https://projects.propublica.org/nonprofits/organizations/132863648,2026-05-06,lp_990_signals.combine_lp_990_signals
vanguard-charitable,232888152,Vanguard Charitable Endowment Program,990,2023,17014127929,,,2138658678,2143975,,,,,https://projects.propublica.org/nonprofits/organizations/232888152,2026-05-06,lp_990_signals.combine_lp_990_signals
whole-planet-foundation,202376273,Whole Foods Market Foundation,990-PF,2023,4019756,5369327,31595673,8024345,,,,,,https://projects.propublica.org/nonprofits/organizations/202376273,2026-05-06,lp_990_signals.combine_lp_990_signals
