Fund Slug,Fund Name,Attempted At,Outcome,Tranche Count,Source URLs,Notes
waterequity-gaf3,WaterEquity Global Access Fund (Fund III),2026-05-06,success,2,https://www.dfc.gov/media/press-releases/dfc-achieves-first-close-100-million-loan-waterequitys-global-access-fund|https://www.globenewswire.com/news-release/2022/03/31/2414126/0/en/WaterEquity-Raises-Over-150-Million-at-Final-Close-of-Global-Access-Fund.html,DFC $100M senior debt + $53M equity
care-shetrades,CARE-SheTrades Impact Fund,2026-05-06,success,2,https://medium.com/usaid-invest/voices-from-the-usaid-finance-and-investment-network-care-enterprises-5f747e1d8fb9,CARE $10M first-loss + USAID $0.5M catalytic
microbuild-fund,MicroBuild Fund,2026-05-06,success,3,https://missioninvestors.org/resources/catalytic-capital-action-microbuild-fund|https://triplejump.eu/fund/microbuild-fund/,OPIC $90M senior + $8M equity + $2M Omidyar PRI first-loss; $10M TA sidecar
save-the-children-global-ventures,Save the Children Global Ventures,2026-05-06,success,2,https://impact-investor.com/save-the-childrens-impact-investing-arm-opens-up-new-funding-frontiers/|https://www.convergence.finance/news-and-events/news/7w42nAv6yvPnsxJqaiI0Bd/view,SC $5M sponsor commit + QBE Group launch partner; multi-fund platform
acumen-kawisafi,Acumen KawiSafi Ventures Fund,2026-05-06,success,2,https://www.greenclimate.fund/project/fp005,GCF $20M equity + $80M co-financing equity (FP005); $5M parallel TA
acumen-araf,Acumen Resilient Agriculture Fund (ARAF),2026-05-06,success,2,https://www.greenclimate.fund/project/fp078|https://acumen.org/news/acumen-resilient-agriculture-fund/,GCF $23M equity + $27M co-financing equity (FP078); $6M parallel grant
acumen-h2r-amplify,Acumen Hardest-to-Reach (H2R) Amplify,2026-05-06,success,3,https://acumen.org/news/acumens-hardest-to-reach-initiative-reaches-target-raise-of-250-million-as-amplify-completes-final-close/,$180M debt fund + GCF anchor + SEDF $15M + Swiss SDC $8M; $18M parallel grant for impact rewards
andgreen-fund,&Green Fund,2026-05-06,success,6,https://www.andgreen.fund/about-us/,NICFI $100M anchor + GCF $180M + FMO $25M + UK MFF $33M + CAFI $51M + Unilever $10M; Stichting structure
britishasiantrust-sdg-outcomes-fund,$100m Outcomes Fund for Women and Girls (British Asian Trust),2026-05-06,success_empty,0,https://www.britishasiantrust.org/our-work/social-finance/100m-outcomes-fund/,Development-stage outcomes fund; per-LP allocations not yet disclosed
waterequity-waci4,WaterEquity Global Access Fund IV,2026-05-06,success,2,https://www.newswire.com/news/waterequity-announces-final-close-of-150-million-global-access-fund-iv-22128210,DFC $100M senior debt + Starbucks-anchored equity coalition
wwb-capital-partners-fund-ii,WWB Capital Partners Fund II,2026-05-06,success,2,https://www.womensworldbanking.org/insights/womens-world-banking-asset-management-closes-second-fund-for-financial-inclusion-at-103m/,EU + KfW (BMZ) first-loss + senior LP coalition; LP structure ($103M total); TA facility
idh-farmfit-fund,IDH Farmfit Fund,2026-05-06,success,2,https://www.idhsustainabletrade.com/farmfit-fund/,USAID up to $250M second-loss guarantee + EUR 100M IDH first-loss equity (Dutch govt + corporate LPs)
oxfam-seiif,Small Enterprise Impact Investing Fund (SEIIF),2026-05-06,success_empty,0,https://symbioticsgroup.com/wp-content/uploads/2015/06/SEIIF-Key-Investment-Terms-01_2014.pdf|http://symbioticsgroup.com/wp-content/uploads/2016/06/SEIIF_Fund_presentation_201603_UK-2.pdf|https://www.thirdsector.co.uk/oxfam-launches-fund-impact-investments-developing-world/finance/article/1154243,Luxembourg SICAV-SIF open-ended fund; A/B/C share classes differ on fee not seniority; no LP-level tranche disclosure
mercy-corps-ventures,Mercy Corps Ventures,2026-05-06,success_empty,0,https://www.mercycorpsventures.com/fund-2-resilient-future-fund|https://www.mercycorpsventures.com/investment-funds-overview|https://www.primecoalition.org/beta-catalytic-capital-platform-facilitated/mercy-corps-ventures-fund-edg5z,Fund I evergreen; Fund II/RFF $50M target with $5M parallel TA facility; no LP-level tranches disclosed
heifer-impact-capital,Heifer Impact Capital,2026-05-06,success_empty,0,https://media-refresh.heifer.org/wp-content/uploads/Heifer-General-Impact-Capital-Fact-Sheet.pdf|https://www.heifer.org/press-release/expand-impact-investing-globally|https://www.seaf.com/heifer-agreement/,Internal program (no separate 990 filer); $17M Heifer commit + $52M leveraged externally; SEAF is co-mgmt not capital
ci-ventures,Conservation International Ventures (CI Ventures),2026-05-06,success,3,https://www.conservation.org/projects/conservation-international-ventures-llc|https://www.dfc.gov/media/press-releases/dfc-and-usaid-provide-10-million-loan-portfolio-guaranty-conservation|https://technode.global/2024/08/20/conservation-international-ventures-gets-1-5m-grant-from-coca-cola-foundation-to-launch-new-climate-resilience-project/,"CI $30m philanthropic equity + DFC/USAID $10m portfolio guaranty + Coca-Cola Foundation $1.5m themed grant pool; $200m figure is portfolio-level mobilization, not LP capital"
brac-impact-ventures,BRAC Osiris Impact Ventures Ltd,2026-05-06,success_empty,0,https://www.brac.net/solutions/investments/brac-osiris-impact-ventures-ltd/|https://disclosures.ifc.org/project-detail/SII/32909/brac-impact-ventures-limited|https://www.findevgateway.org/news/brac-and-osiris-group-launch-impact-fund-bangladesh-and-other-frontier-markets|https://futurestartup.com/2018/08/20/the-osiris-group-and-brac-announce-impact-fund-partnership/,"IFC project SII/32909 confirms entity exists but disclosure page is JS-rendered with no harvestable amounts; launch press explicit: ""Specifics such as target size, markets, deal size, have not been disclosed"""
wwb-capital-partners-fund,WWB Capital Partners Fund I,2026-05-06,success,2,https://www.crunchbase.com/organization/wwb-isis-fund|https://ceniarthllc.com/investee/wwb-capital-partners/|https://www.oe-eb.at/en/our-projects/projects-at-a-glance/womens-world-banking.html|https://www.convergence.finance/resource/women%27s-world-banking-capital-partners-ii-(wwbcpii)-case-study/view,"Non-blended single-class PE LP (Convergence describes Fund I as ""a $50 million traditional private equity fund""); only Ceniarth $1m + OeEB $4.8m are individually sized; legal name is WWB Isis Fund LP (Delaware)"
accion-venture-lab,Accion Venture Lab,2026-05-06,success,1,https://www.accion.org/news/accion-venture-lab-launches-new-fund-quadruples-capital-for-inclusive-fintech-startups/|https://www.accion.org/news/accion-announces-close-of-61-6m-second-accion-venture-lab-fund-investing-in-early-stage-inclusive-fintech/|https://www.accion.org/how-we-work/investment-strategies/accion-impact-management/accion-ventures/,2012 evergreen on Accion 501(c)(3) balance sheet ($10M); blended 2019 $23M coinvestment vehicle is structurally separate
accion-venture-lab-fund-ii,"Accion Venture Lab Fund II, LP",2026-05-06,success,6,https://www.prnewswire.com/news-releases/accion-announces-close-of-61-6m-second-accion-venture-lab-fund-investing-in-early-stage-inclusive-fintech-302548169.html|https://www.fmo.nl/project-detail/61985|https://www.proparco.fr/en/news/proparco-invests-accion-venture-lab-fund-ii-support-financial-inclusion-africa-asia-and-latin,Flat single-class LP equity stack; FMO $8.25m + Proparco $5m sized; Ford/MetLife/Mastercard/ImpactAssets unsized; $13.25m sized of $61.6m (~21%)
accion-impact-management-digital-transformation-fund,Accion Digital Transformation Fund,2026-05-06,success,4,https://www.accion.org/news/accion-launches-152-5m-fund-investing-in-digital-transformation-of-financial-institutions-serving-small-businesses-globally/|https://disclosures.ifc.org/project-detail/SII/48456/adtx-equity|https://www.fmo.nl/project-detail/60708|https://idbinvest.org/en/projects/accion-digital-transformation-fund|https://www.swedfund.se/sv/om-swedfund/nyheter/svensk-investering-stoedjer-finansiell-inkludering-genom-accion-digital-transformation-fund,"IFC $25m + FMO $21.5m + Swedfund $15m + IDB Invest $10m (=$71.5m, 47% of $152.5m); BII/OeEB/Mastercard named but unsized; flat LP equity, no first-loss"
av-ventures-ghana,AV Ventures Ghana (AVVG),2026-05-06,success,2,https://www.convergence.finance/news/5jvstAhInwiMnqDdv2msUm/view|https://av-ventures.com/our_funds/|https://av-ventures.com/the-av-ventures-ghana-fund-2/,DFC $2M long-term loan + USDA $1.8M concessionary capital (Food for Progress legacy); $3.8M permanent capital LLC
av-frontiers-caif,AV Frontiers Central Asia Investment Fund (CAIF),2026-05-06,success_empty,0,https://av-ventures.com/our_funds/|https://www.acdivoca.org/2020/04/acdi-voca-launches-central-asia-impact-fund-for-small-and-growing-businesses/|https://interactive.acdivoca.org/2022annualreport/exploring-our-impact,"KMF-Demeu nonprofit anchor ($2M of $2.15M initial close); ACDI/VOCA co-anchor unsized; $8-10M target; ~$5.2M AUM today; no senior/junior layering, no TA facility, no vehicle form publicly disclosed"
av-ventures-ink-kenya,AV Ventures Impact for Kenya (INK Fund),2026-05-06,success_empty,0,https://www.acdivoca.org/2020/12/av-ventures-launches-fund-in-northern-kenya/|https://www.acdivoca.org/av-ventures/impact-in-northern-kenya-fund/|https://www.acdivoca.org/2024/05/usaid-kuza-climate-finance-window/|https://www.acdivoca.org/2021/03/bridging-the-gaps-in-northern-kenyas-access-to-finance/,"Single-source USAID-KUZA-funded program-related investment vehicle; size disclosed variously $5M / $14M / $30M / $38M across snapshots; $6M climate window inside; no co-LPs, no tranches, no TA sidecar, no vehicle form"
