Entity Slug,Entity Type,Reason,Reconsider After,Date Added
naturevest-conservation-notes,impact_fund,"programmatic, not a fund vehicle",,2026-04-28
akfed,impact_fund,"programmatic, not a fund vehicle",,2026-04-28
akam-aga-khan-agency-for-microfinance,impact_fund,"programmatic, not a fund vehicle",,2026-04-28
christian-aid-impact-investments,impact_fund,"programmatic, not a fund vehicle",,2026-04-28
root-capital-sustainable-trade-fund,impact_fund,"programmatic, not a fund vehicle",,2026-04-28
crs-inclusive-impact-investing,impact_fund,"programmatic, not a fund vehicle",,2026-04-28
ground-up-investing-corus,impact_fund,"programmatic, not a fund vehicle",,2026-04-28
pact-global-microfinance-fund,impact_fund,"programmatic, not a fund vehicle",,2026-04-28
icco-investments,impact_fund,"programmatic, not a fund vehicle",,2026-04-28
visionfund-microfinance,impact_fund,"programmatic, not a fund vehicle",,2026-04-28
wwf-impact,impact_fund,"programmatic, not a fund vehicle",,2026-04-28
one-acre-fund-tupande,impact_fund,"programmatic, not a fund vehicle",,2026-04-28
irc-airbel-impact-lab,impact_fund,"programmatic, not a fund vehicle",,2026-04-28
dai-magister,impact_fund,"programmatic, not a fund vehicle",,2026-04-28
hope-global-investments,impact_fund,"programmatic, not a fund vehicle",,2026-04-28
finca-ventures,impact_fund,"programmatic, not a fund vehicle",,2026-04-28
acumen-capital-partners-i,impact_fund,"programmatic, not a fund vehicle",,2026-04-28
acumen-h2r-amplify,impact_fund,acumen.org behind Cloudflare bot challenge — needs playwright,Phase 5,2026-04-28
acumen-kawisafi,impact_fund,acumen.org behind Cloudflare bot challenge — needs playwright,Phase 5,2026-04-28
