LP Slug,LP Name,EIN,Resolved Name,NTEE,State,Confidence,Top Candidates,Resolved Date,Notes
ford-foundation,Ford Foundation,131684331,Ford Foundation,T21,NY,confirmed,201641095|Foundation For Rocky Ford Schools|B112|CO;;131684331|Ford Foundation|T21|NY;;332457475|Ford Foundation||TX;;936026156|Ford Family Foundation|T50|OR;;954530031|Ford Theatre Foundation|A110|CA,2026-05-06,manual: real Ford Foundation NY (top hit was Rocky Ford Schools)
rockefeller-foundation,Rockefeller Foundation,131659629,Rockefeller Foundation,,NY,confirmed,131659629|Rockefeller Foundation||NY;;273156390|Rockefeller Foundation|T30|LA;;710285871|Winthrop Rockefeller Foundation||AR;;474946946|Rockfeller Foundation Inc|Q12|FL;;462261050|Peggy Mcgrath Rockefeller Foundation|T99|NY,2026-05-06,manual: real Rockefeller-NY (NTEE missing in PP)
gates-foundation,Bill & Melinda Gates Foundation,562618866,Gates Foundation,T22,WA,confirmed,562618866|Gates Foundation|T22|WA;;383453138|Gates Foundation|B82|MI;;911663695|Gates Foundation Trust|T20Z|WA;;301201296|Red Gates Foundation|T20|VA;;840474837|Gates Family Foundation||CO,2026-05-06,manual: BMGF operating entity (separate from Trust 911663695)
macarthur-foundation,MacArthur Foundation,237093598,John D & Catherine T Macarthur Foundation,T20Z,IL,confirmed,510214450|Roderick Macarthur Foundation||IL;;452474548|Stems Macarthur Foundation|T20|TN;;546037884|General Douglas Macarthur Foundation|A540|VA;;273141382|Macarthur Family Charitable Foundation|T22|NY;;474574639|Ellen Macarthur Foundation Usa Inc|B99|NY,2026-05-06,manual: verified via direct EIN lookup; not in search candidates
hewlett-foundation,Hewlett Foundation,941655673,William & Flora Hewlett Foundation,T21,CA,confirmed,941655673|William & Flora Hewlett Foundation|T21|CA;;475011215|Hewlett Packard Enterprise Foundation|T20|DC;;311590896|Hewlett Family Foundation Inc|T21|FL;;113120482|Peninsula Hewlett Kiwanis Foundation Inc||NY;;113458926|Hewlett Woodmere Educational Foundation Inc|B12|NY,2026-05-06,manual: William & Flora Hewlett Foundation
packard-foundation,David and Lucile Packard Foundation,942278431,David And Lucile Packard Foundation,T20,CA,confirmed,942278431|David And Lucile Packard Foundation|T20|CA,2026-05-06,exact-name + foundation-ntee (T20)
hilton-foundation,Conrad N. Hilton Foundation,943100217,Conrad N Hilton Foundation,T22,CA,confirmed,943100217|Conrad N Hilton Foundation|T22|CA,2026-05-06,exact-name + foundation-ntee (T22)
kellogg-foundation,W.K. Kellogg Foundation,381359264,W K Kellogg Foundation,T21,MI,confirmed,381359264|W K Kellogg Foundation|T21|MI;;383411520|Kellogg Community College Foundation|B82|MI;;136092448|J C Kellogg Foundation||NY;;461620270|Wabasha Kellogg Scholarship Foundation|B82|MN;;391775567|The Kellogg Family Foundation Inc||WI,2026-05-06,manual: W.K. Kellogg Foundation MI
skoll-foundation,Skoll Foundation,113659133,Skoll Foundation,T22,CA,confirmed,113659133|Skoll Foundation|T22|CA;;833990543|Hoop Skool Foundation Inc|B90|NY,2026-05-06,exact-name + foundation-ntee (T22)
surdna-foundation,Surdna Foundation,136108163,Surdna Foundation Inc,T22,NY,confirmed,136108163|Surdna Foundation Inc|T22|NY;;851830389|Surdaan Foundation|A12|TX;;850734193|Surdam Foundation|E60|WY;;873847485|Surata Foundation|T22|MI;;992532556|Suratna Foundation|S20|TX,2026-05-06,manual: Surdna Foundation NY
rwjf,Robert Wood Johnson Foundation,226029397,Robert Wood Johnson Foundation,T20,NJ,confirmed,226029397|Robert Wood Johnson Foundation|T20|NJ;;222405094|Robert Wood Johnson University Hospital Rahway Foundation||NJ;;222552329|Robert Wood Johnson University Hospital At Hamilton Foundation I|E22I|NJ,2026-05-06,exact-name + foundation-ntee (T20)
mcknight-foundation,McKnight Foundation,410754835,Mcknight Foundation,T21,MN,confirmed,410754835|Mcknight Foundation|T21|MN;;831936391|Mcknight Family Foundation|T20|DE;;223696496|Mcknight Foundation Inc|T22|NJ;;475241768|Mcknight Family Foundation||KS;;831070446|Mcknight Foundation Inc|O50|GA,2026-05-06,manual: McKnight Foundation MN
macp,Margaret A. Cargill Philanthropies,371758406,Margaret A Cargill Foundation,T20,MN,confirmed,812602972|Maca|T50|MO;;820616219|Macy Community Boosters Inc|S80|IN;;465681240|Macs Mission|P20|MO;;930894937|Macg Vision|X20B|OR;;383210177|Mack Alive|F20|MI,2026-05-06,"manual: fresh search via ""Margaret A Cargill Foundation"""
open-society-foundations,Open Society Foundations,263753801,Foundation To Promote Open Society,T22,NY,confirmed,273743368|Open Music Society Foundation||CA;;263753801|Foundation To Promote Open Society|T22|NY,2026-05-06,manual: Soros OSF files as Foundation To Promote Open Society
omidyar-network,Omidyar Network,201173866,Omidyar Network Fund Inc,T20,CA,confirmed,201173866|Omidyar Network Fund Inc|T20|CA,2026-05-06,manual: Omidyar Network Fund 501c3 arm
czi,Chan Zuckerberg Initiative,455002209,Chan Zuckerberg Initiative Foundation,T20,CA,confirmed,455002209|Chan Zuckerberg Initiative Foundation|T20|CA;;813742328|Chan Zuckerberg Initiative Advocacy|W12|CA,2026-05-06,manual: Chan Zuckerberg Initiative Foundation 501c3 arm
bloomberg-philanthropies,Bloomberg Philanthropies,205602483,Bloomberg Family Foundation Inc,T20,NY,confirmed,,2026-05-06,manual: Bloomberg Philanthropies files as Bloomberg Family Foundation Inc
yield-giving,Yield Giving,,,,,unresolved,463383293|Scott R Mackenzie Foundation Inc|T22|FL,2026-05-06,manual: MacKenzie Scott gifts directly via DAFs; no Yield Giving 501(c)(3) filing
bezos-earth-fund,Bezos Earth Fund,931868994,Bezos Earth Fund Foundation,C30,DC,confirmed,931868994|Bezos Earth Fund Foundation|C30|DC,2026-05-06,manual: Bezos Earth Fund Foundation
emerson-collective,Emerson Collective,,,,,unresolved,834583724|Collective Kingdom Impact Llc|T20|AL,2026-05-06,"manual: Emerson Collective is an LLC, not a 501(c)(3)"
ciff-us,Children's Investment Fund Foundation US,43632641,The Childrens Investment Fund Foundation,T20,CT,confirmed,,2026-05-06,manual: US affiliate of CIFF
visa-foundation,Visa Foundation,814503596,Visa Foundation,T21,CA,confirmed,814503596|Visa Foundation|T21|CA;;854325575|Visa Vel Foundation|C99|TX;;394748864|Go Visa Foundation Corp|B80|FL;;934581446|In Visa Foundation Inc|P84|CT;;800113235|Vista Foundation|B12|PA,2026-05-06,manual: Visa Foundation CA
citi-foundation,Citi Foundation,133781879,Citi Foundation,T21,NY,confirmed,133781879|Citi Foundation|T21|NY;;854271035|Cits Foundation|O50|NY;;203737531|Cita Foundation|P84|VA;;814319418|Citi Lyfe Foundation Inc|O50|FL;;362434562|Little City Foundation|P700|IL,2026-05-06,manual: Citi Foundation NY
jpmc-foundation,JPMorgan Chase Foundation,237049738,Jpmorgan Chase Foundation,,NY,confirmed,237049738|Jpmorgan Chase Foundation||NY;;726022876|Jpmorgan Chase Foundation Of Northwest Louisiana||IL,2026-05-06,exact-name (ntee=missing); only similar-name hit
bofa-foundation,Bank of America Foundation,200721133,Bank Of America Charitable Foundation Inc,T20,NC,confirmed,200721133|Bank Of America Charitable Foundation Inc|T20|NC;;204605486|Ban Foundation Of America Inc|O50|NY;;223664626|Jem Foundation Inc Us Trust Bank Of America||NJ;;46028058|American Optical Foundation||MA;;222751372|L G Balfour Foundation||TX,2026-05-06,manual: Bank of America Charitable Foundation
nuveen-tiaa-impact,Nuveen / TIAA Impact,,,,,unresolved,366069509|Nuveen Benevolent Trust||IL;;812661531|Nuven Foundation|T30|VA;;203168620|Nuview Youth Sports|N30|CA;;202186948|Nuview Community Scholarship Foundation|B82|CA;;204368319|Nuview Knights Athletics Boosterclub|N12|CA,2026-05-06,"manual: Nuveen/TIAA Impact is a corporate program, not a 501(c)(3)"
prudential-impact,Prudential Financial Impact Investments,,,,,unresolved,,2026-05-06,"manual: Prudential Financial Impact Investments is part of corporate, not a 501(c)(3) — separate from Prudential Foundation"
metlife-foundation,MetLife Foundation,132878224,Metlife Foundation,,NY,confirmed,132878224|Metlife Foundation||NY;;200157623|Dawn Busters Of Metaire Kiwanis Foundation Inc|B82|LA,2026-05-06,exact-name (ntee=missing); only similar-name hit
pfizer-foundation,Pfizer Foundation,136083839,Pfizer Foundation Inc,,NY,confirmed,136083839|Pfizer Foundation Inc||NY;;261437283|Pfizer Patient Assistance Foundation Inc|E12|NY;;464358193|Pfister Family Foundation|W99|CA;;205994513|M & I Pfister Foundation|T20|CA;;461619178|Louise Pfister Charitable Foundation Inc|T20|NY,2026-05-06,exact-name (ntee=missing); only similar-name hit
autodesk-foundation,Autodesk Foundation,611703255,Autodesk Foundation,T22,CA,confirmed,611703255|Autodesk Foundation|T22|CA;;392713258|Autoseek Foundation|C60|CA,2026-05-06,manual: Autodesk Foundation CA
