Run Number,LP Slug,EIN,Entity Type,Status,Filings With Data,Latest Filing Year,Source URL,Source Date
1,ford-foundation,131684331,,ok,11,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/131684331.json,2026-05-06
1,rockefeller-foundation,131659629,,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/131659629.json,2026-05-06
1,gates-foundation,562618866,,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/562618866.json,2026-05-06
1,macarthur-foundation,237093598,,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/237093598.json,2026-05-06
1,hewlett-foundation,941655673,,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/941655673.json,2026-05-06
1,packard-foundation,942278431,,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/942278431.json,2026-05-06
1,hilton-foundation,943100217,,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/943100217.json,2026-05-06
1,kellogg-foundation,381359264,,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/381359264.json,2026-05-06
1,skoll-foundation,113659133,,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/113659133.json,2026-05-06
1,surdna-foundation,136108163,,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/136108163.json,2026-05-06
1,rwjf,226029397,,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/226029397.json,2026-05-06
1,mcknight-foundation,410754835,,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/410754835.json,2026-05-06
1,macp,371758406,,ok,7,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/371758406.json,2026-05-06
1,open-society-foundations,263753801,,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/263753801.json,2026-05-06
1,omidyar-network,201173866,,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/201173866.json,2026-05-06
1,czi,455002209,,ok,9,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/455002209.json,2026-05-06
1,bloomberg-philanthropies,205602483,,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/205602483.json,2026-05-06
1,bezos-earth-fund,931868994,,ok,1,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/931868994.json,2026-05-06
1,ciff-us,43632641,,ok,8,2021,https://projects.propublica.org/nonprofits/api/v2/organizations/43632641.json,2026-05-06
1,visa-foundation,814503596,,ok,5,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/814503596.json,2026-05-06
1,citi-foundation,133781879,,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/133781879.json,2026-05-06
1,jpmc-foundation,237049738,,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/237049738.json,2026-05-06
1,bofa-foundation,200721133,,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/200721133.json,2026-05-06
1,metlife-foundation,132878224,,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/132878224.json,2026-05-06
1,pfizer-foundation,136083839,,ok,8,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/136083839.json,2026-05-06
1,autodesk-foundation,611703255,,ok,9,2024,https://projects.propublica.org/nonprofits/api/v2/organizations/611703255.json,2026-05-06
1,schmidt-family-foundation,204170342,,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/204170342.json,2026-05-06
1,cisneros-foundation,872492348,,ok,0,,https://projects.propublica.org/nonprofits/api/v2/organizations/872492348.json,2026-05-06
1,cordes-foundation,251926063,,ok,14,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/251926063.json,2026-05-06
1,helmsley-charitable-trust,137184401,,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/137184401.json,2026-05-06
1,heron-foundation,133647019,,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/133647019.json,2026-05-06
1,howard-g-buffett-foundation,470824756,,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/470824756.json,2026-05-06
1,kl-felicitas-foundation,770539366,,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/770539366.json,2026-05-06
1,lemelson-foundation,880391959,,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/880391959.json,2026-05-06
1,novo-foundation,470824753,,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/470824753.json,2026-05-06
1,patrick-j-mcgovern-foundation,223021586,,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/223021586.json,2026-05-06
1,russell-family-foundation,911663336,,ok,11,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/911663336.json,2026-05-06
1,sorenson-impact-foundation,453203840,,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/453203840.json,2026-05-06
1,tara-health-foundation,465645300,,ok,7,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/465645300.json,2026-05-06
